ID;CUSTOMFIELDTYPEKEY;CUSTOMFIELDSEARCHERKEY;cfname;DESCRIPTION;defaultvalue;FIELDTYPE;PROJECT;ISSUETYPE;cfkey;lastvalueupdate;issueswithvalue
10000;com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Markiert;Erlaubt diesen Vorgang mit Hindernissen zu markieren.;NULL;NULL;NULL;NULL;NULL;2025-01-13 13:29:06.980;2832
10001;com.atlassian.jira.plugin.system.customfieldtypes:labels;com.atlassian.jira.plugin.system.customfieldtypes:labelsearcher;Epic/Thema;Dieses Feld hilft ihre Vorgänge unter einem Epic oder einem Thema zu gruppieren.;NULL;NULL;NULL;NULL;NULL;2023-08-01 12:56:27.427;0
10002;com.atlassian.jira.plugin.system.customfieldtypes:float;com.atlassian.jira.plugin.system.customfieldtypes:exactnumber;Story-Punkte;Messung der Komplexität und/oder der Größe der Anforderung.;NULL;NULL;NULL;NULL;NULL;2025-01-13 16:29:07.140;38995
10003;com.atlassian.jira.plugin.system.customfieldtypes:float;com.atlassian.jira.plugin.system.customfieldtypes:exactnumber;Geschäftswert;Messung des Geschäftswertes dieser Anforderung.;NULL;NULL;NULL;NULL;NULL;2024-06-07 11:07:22.900;16
10004;com.pyxis.greenhopper.jira:gh-epic-link;com.pyxis.greenhopper.jira:gh-epic-link-searcher;Epic-Verknüpfung;Wählen Sie einen Epic aus, dem Sie diesen Vorgang zuordnen wollen.;NULL;NULL;NULL;NULL;NULL;2025-01-13 17:29:07.200;0
10005;com.pyxis.greenhopper.jira:gh-epic-status;com.pyxis.greenhopper.jira:gh-epic-status-searcher;Epic-Status;"Das Feld ""Epic-Status"" ist nur zur Verwendung mit Jira Software vorgesehen.";NULL;NULL;NULL;NULL;NULL;2025-01-08 14:15:20.413;12487
10006;com.pyxis.greenhopper.jira:gh-epic-label;com.pyxis.greenhopper.jira:gh-epic-label-searcher;Epic-Name;Geben sie einen kurzen Namen für dieses Epic an.;NULL;NULL;NULL;NULL;NULL;2025-01-13 16:29:07.140;12557
10007;com.pyxis.greenhopper.jira:gh-epic-color;com.pyxis.greenhopper.jira:gh-epic-color-searcher;Epic-Farbe;"Das Feld ""Epic-Farbe"" ist nur zur Verwendung mit Jira Software vorgesehen.";NULL;NULL;NULL;NULL;NULL;2025-01-13 16:29:07.140;12067
10008;com.pyxis.greenhopper.jira:gh-sprint;com.pyxis.greenhopper.jira:gh-sprint-searcher;Sprint;Jira Software-Sprint-Feld;NULL;NULL;NULL;NULL;NULL;2025-01-13 17:29:07.200;95185
10009;com.pyxis.greenhopper.jira:gh-lexo-rank;com.pyxis.greenhopper.jira:gh-lexo-rank-searcher;Rang;Globales Rangfeld, nur zur Verwendung mit Jira Software vorgesehen.;NULL;NULL;NULL;NULL;NULL;2025-01-13 17:29:07.200;0
10100;com.atlassian.jira.plugin.system.customfieldtypes:userpicker;com.atlassian.jira.plugin.system.customfieldtypes:userpickergroupsearcher;Entwickler;NULL;NULL;NULL;NULL;NULL;NULL;2025-01-13 17:29:07.200;7568
10101;com.atlassian.jira.plugin.system.customfieldtypes:userpicker;com.atlassian.jira.plugin.system.customfieldtypes:userpickergroupsearcher;Reviewer;NULL;NULL;NULL;NULL;NULL;NULL;2019-08-13 13:10:10.243;1675
