id;issue;customfield;parentkey;stringvalue;numbervalue;textvalue;datevalue;valuetype;updated
81718;18400;10327;NULL;NULL;NULL;NULL;NULL;NULL;NULL
81713;18400;10500;NULL;b001857;NULL;NULL;NULL;NULL;NULL
81712;18400;10324;NULL;10906;NULL;NULL;NULL;NULL;NULL
81724;18400;10609;NULL;10866;NULL;NULL;NULL;NULL;NULL
81723;18400;10606;NULL;10864;NULL;NULL;NULL;NULL;NULL
81722;18400;10605;NULL;10860;NULL;NULL;NULL;NULL;NULL
81721;18400;10604;NULL;10839;NULL;NULL;NULL;NULL;NULL
81720;18400;10603;NULL;10823;NULL;NULL;NULL;NULL;NULL
81719;18400;10602;NULL;10806;NULL;NULL;2017-03-31 00:01:00.000;NULL;NULL
81717;18400;10601;NULL;10803;NULL;NULL;NULL;NULL;NULL
81715;18400;10600;NULL;10800;NULL;NULL;NULL;NULL;NULL
26439;15396;10502;NULL;10648;NULL;NULL;NULL;NULL;NULL
81714;18400;10501;NULL;10600;NULL;NULL;NULL;NULL;NULL
81711;18400;10333;NULL;10328;NULL;NULL;NULL;NULL;NULL
81710;18400;10332;NULL;10325;NULL;NULL;NULL;NULL;NULL
81709;18400;10331;NULL;10323;NULL;NULL;NULL;NULL;NULL
81708;18400;10330;NULL;10319;NULL;NULL;NULL;NULL;NULL
81665;18306;10327;NULL;NULL;NULL;NULL;NULL;NULL;NULL
81675;18306;10326;NULL;b001374;NULL;NULL;NULL;NULL;NULL
81659;18306;10500;NULL;b001129;NULL;NULL;NULL;NULL;NULL
81674;18306;10328;NULL;b001129;NULL;NULL;NULL;NULL;NULL
81660;18306;10324;NULL;10909;NULL;NULL;NULL;NULL;NULL
81673;18306;10611;NULL;10890;NULL;NULL;NULL;NULL;NULL
81672;18306;10610;NULL;10887;NULL;NULL;NULL;NULL;NULL
81671;18306;10609;NULL;10866;NULL;NULL;NULL;NULL;NULL
81670;18306;10606;NULL;10864;NULL;NULL;NULL;NULL;NULL
81669;18306;10605;NULL;10860;NULL;NULL;NULL;NULL;NULL
81668;18306;10604;NULL;10839;NULL;NULL;NULL;NULL;NULL
