source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
10002;Project;10000;FieldLayoutScheme;ProjectScheme;NULL
10002;Project;10000;IssueSecurityScheme;ProjectScheme;NULL
10002;Project;10000;NotificationScheme;ProjectScheme;NULL
10002;Project;10200;IssueTypeScreenScheme;ProjectScheme;NULL
10002;Project;10300;WorkflowScheme;ProjectScheme;NULL
10002;Project;10400;PermissionScheme;ProjectScheme;NULL
10002;Project;10600;ProjectCategory;ProjectCategory;NULL
10102;Project;10602;ProjectCategory;ProjectCategory;NULL
10102;Project;11500;NotificationScheme;ProjectScheme;NULL
10102;Project;13502;FieldLayoutScheme;ProjectScheme;NULL
10102;Project;14700;PermissionScheme;ProjectScheme;NULL
10102;Project;20700;IssueTypeScreenScheme;ProjectScheme;NULL
10102;Project;21501;WorkflowScheme;ProjectScheme;NULL
10200;Project;10000;IssueSecurityScheme;ProjectScheme;NULL
10200;Project;10000;NotificationScheme;ProjectScheme;NULL
10200;Project;10100;FieldLayoutScheme;ProjectScheme;NULL
10200;Project;10300;IssueTypeScreenScheme;ProjectScheme;NULL
10200;Project;10400;PermissionScheme;ProjectScheme;NULL
10200;Project;10400;WorkflowScheme;ProjectScheme;NULL
10200;Project;10600;ProjectCategory;ProjectCategory;NULL
10300;Issue;10200;Component;IssueComponent;NULL
10300;Issue;12100;Version;IssueFixVersion;NULL
10300;Project;10000;NotificationScheme;ProjectScheme;NULL
10300;Project;10400;IssueTypeScreenScheme;ProjectScheme;NULL
10300;Project;10500;WorkflowScheme;ProjectScheme;NULL
10300;Project;10600;ProjectCategory;ProjectCategory;NULL
10300;Project;11303;PermissionScheme;ProjectScheme;NULL
10303;Project;10000;NotificationScheme;ProjectScheme;NULL
10303;Project;10401;IssueTypeScreenScheme;ProjectScheme;NULL
10303;Project;10600;ProjectCategory;ProjectCategory;NULL
10303;Project;11303;PermissionScheme;ProjectScheme;NULL
10303;Project;21406;WorkflowScheme;ProjectScheme;NULL
10304;Project;10100;IssueSecurityScheme;ProjectScheme;NULL
10304;Project;10100;NotificationScheme;ProjectScheme;NULL
10304;Project;10100;ProjectCategory;ProjectCategory;NULL
10304;Project;10200;FieldLayoutScheme;ProjectScheme;NULL
10304;Project;10405;IssueTypeScreenScheme;ProjectScheme;NULL
